country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Malaysia,MY,6/2/2022,TV,1,All of Us Are Dead,All of Us Are Dead: Season 1,2
Malaysia,MY,6/2/2022,TV,2,Taxi Driver,,6
Malaysia,MY,6/2/2022,TV,3,Our Beloved Summer,Our Beloved Summer: Season 1,9
Malaysia,MY,6/2/2022,TV,4,Bulgasal: Immortal Souls,Bulgasal: Immortal Souls: Season 1,7
Malaysia,MY,6/2/2022,TV,5,Manifest,Manifest: Season 1,5
Malaysia,MY,6/2/2022,TV,6,Manifest,Manifest: Season 3,4
Malaysia,MY,6/2/2022,TV,7,In From the Cold,In From the Cold: Season 1,1
Malaysia,MY,6/2/2022,TV,8,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,6
Malaysia,MY,6/2/2022,TV,9,Manifest,Manifest: Season 2,5
Malaysia,MY,6/2/2022,TV,10,The Woman in the House Across the Street from the Girl in the Window,The Woman in the House Across the Street from the Girl in the Window: Season 1,1
Malaysia,MY,30/1/2022,TV,1,All of Us Are Dead,All of Us Are Dead: Season 1,1
Malaysia,MY,30/1/2022,TV,2,Our Beloved Summer,Our Beloved Summer: Season 1,8
Malaysia,MY,30/1/2022,TV,3,Taxi Driver,,5
Malaysia,MY,30/1/2022,TV,4,Manifest,Manifest: Season 1,4
Malaysia,MY,30/1/2022,TV,5,Bulgasal: Immortal Souls,Bulgasal: Immortal Souls: Season 1,6
Malaysia,MY,30/1/2022,TV,6,Manifest,Manifest: Season 3,3
Malaysia,MY,30/1/2022,TV,7,Manifest,Manifest: Season 2,4
Malaysia,MY,30/1/2022,TV,8,The Penthouse: War in Life,The Penthouse: War in Life: Season 1,4
Malaysia,MY,30/1/2022,TV,9,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,5
Malaysia,MY,30/1/2022,TV,10,The Penthouse: War in Life,The Penthouse: War in Life: Season 2,3
Malaysia,MY,23/1/2022,TV,1,Taxi Driver,,4
Malaysia,MY,23/1/2022,TV,2,Manifest,Manifest: Season 1,3
Malaysia,MY,23/1/2022,TV,3,Our Beloved Summer,Our Beloved Summer: Season 1,7
Malaysia,MY,23/1/2022,TV,4,Manifest,Manifest: Season 2,3
Malaysia,MY,23/1/2022,TV,5,Manifest,Manifest: Season 3,2
Malaysia,MY,23/1/2022,TV,6,The Penthouse: War in Life,The Penthouse: War in Life: Season 1,3
Malaysia,MY,23/1/2022,TV,7,Bulgasal: Immortal Souls,Bulgasal: Immortal Souls: Season 1,5
Malaysia,MY,23/1/2022,TV,8,Single’s Inferno,Single’s Inferno: Season 1,4
Malaysia,MY,23/1/2022,TV,9,The Penthouse: War in Life,The Penthouse: War in Life: Season 2,2
Malaysia,MY,23/1/2022,TV,10,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,4
Malaysia,MY,16/1/2022,TV,1,Taxi Driver,,3
Malaysia,MY,16/1/2022,TV,2,Manifest,Manifest: Season 1,2
Malaysia,MY,16/1/2022,TV,3,Manifest,Manifest: Season 2,2
Malaysia,MY,16/1/2022,TV,4,Our Beloved Summer,Our Beloved Summer: Season 1,6
Malaysia,MY,16/1/2022,TV,5,Manifest,Manifest: Season 3,1
Malaysia,MY,16/1/2022,TV,6,Single’s Inferno,Single’s Inferno: Season 1,3
Malaysia,MY,16/1/2022,TV,7,The Penthouse: War in Life,The Penthouse: War in Life: Season 1,2
Malaysia,MY,16/1/2022,TV,8,Bulgasal: Immortal Souls,Bulgasal: Immortal Souls: Season 1,4
Malaysia,MY,16/1/2022,TV,9,The Long Ballad,,2
Malaysia,MY,16/1/2022,TV,10,The Penthouse: War in Life,The Penthouse: War in Life: Season 2,1
Malaysia,MY,9/1/2022,TV,1,Taxi Driver,,2
Malaysia,MY,9/1/2022,TV,2,Manifest,Manifest: Season 1,1
Malaysia,MY,9/1/2022,TV,3,Single’s Inferno,Single’s Inferno: Season 1,2
Malaysia,MY,9/1/2022,TV,4,Our Beloved Summer,Our Beloved Summer: Season 1,5
Malaysia,MY,9/1/2022,TV,5,The Penthouse: War in Life,The Penthouse: War in Life: Season 1,1
Malaysia,MY,9/1/2022,TV,6,Manifest,Manifest: Season 2,1
Malaysia,MY,9/1/2022,TV,7,The Silent Sea,The Silent Sea: Season 1,3
Malaysia,MY,9/1/2022,TV,8,The Long Ballad,,1
Malaysia,MY,9/1/2022,TV,9,The Devil Judge,,2
Malaysia,MY,9/1/2022,TV,10,Bulgasal: Immortal Souls,Bulgasal: Immortal Souls: Season 1,3
Malaysia,MY,2/1/2022,TV,1,The Silent Sea,The Silent Sea: Season 1,2
Malaysia,MY,2/1/2022,TV,2,Emily in Paris,Emily in Paris: Season 2,2
Malaysia,MY,2/1/2022,TV,3,Our Beloved Summer,Our Beloved Summer: Season 1,4
Malaysia,MY,2/1/2022,TV,4,The Devil Judge,,1
Malaysia,MY,2/1/2022,TV,5,Taxi Driver,,1
Malaysia,MY,2/1/2022,TV,6,The Witcher,The Witcher: Season 2,3
Malaysia,MY,2/1/2022,TV,7,Single’s Inferno,Single’s Inferno: Season 1,1
Malaysia,MY,2/1/2022,TV,8,Bulgasal: Immortal Souls,Bulgasal: Immortal Souls: Season 1,2
Malaysia,MY,2/1/2022,TV,9,The King's Affection,The King's Affection: Season 1,12
Malaysia,MY,2/1/2022,TV,10,Tokyo Revengers,Tokyo Revengers: Season 1,1
Malaysia,MY,26/12/2021,TV,1,Emily in Paris,Emily in Paris: Season 2,1
